Time,TempC,TempF,WindSpeedMiles,WindSpeedKmph,WindDirDegree,WindDir16Point,WeatherDesc,PrecipMM,PrecipInches,Humidity,VisibilityKm,VisibilityMiles,PressureMB,PressureInches,CloudCover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,Date_Month
0,20.0,68.0,3,5.0,37.0,11,0,0.0,0.0,47,10,6,1015,30,0.0,20,68,12,54,20.0,68.0,6,10.0,20,68,1
100,19.0,67.0,3,4.0,36.0,11,0,0.0,0.0,48,10,6,1015,30,0.0,19,67,12,54,19.0,67.0,8,13.0,19,67,1
200,19.0,66.0,2,4.0,35.0,11,0,0.0,0.0,48,10,6,1015,30,0.0,19,66,12,54,19.0,66.0,8,13.0,19,66,1
300,18.5,65.0,2,4.0,34.0,6,0,0.0,0.0,48,10,6,1014,30,0.0,18,66,12,53,18.5,65.0,8,13.0,18,66,1
400,18.5,65.0,2,4.0,35.0,11,0,0.0,0.0,49,10,6,1015,30,1.0,18,66,12,53,18.5,65.0,8,12.0,18,66,1
500,18.5,65.0,3,4.0,37.0,11,0,0.0,0.0,49,10,6,1015,30,1.0,18,66,12,53,18.5,65.0,5,9.0,18,66,1
600,18.5,65.0,3,4.0,38.0,11,0,0.0,0.0,50,10,6,1016,30,2.0,18,66,12,53,18.5,65.0,6,9.0,18,66,1
700,19.0,66.0,3,5.0,31.0,6,1,0.0,0.0,46,10,6,1016,30,2.0,19,66,11,53,19.0,66.0,5,8.0,19,66,1
800,21.0,70.0,3,5.0,25.0,6,1,0.0,0.0,41,10,6,1017,30,2.0,22,71,12,54,21.0,70.0,5,8.0,21,70,1
900,23.0,74.0,4,6.0,18.0,6,1,0.0,0.0,37,10,6,1018,30,3.0,24,75,12,53,23.0,74.0,4,7.0,24,75,1
1000,26.0,79.0,4,6.0,122.0,13,1,0.0,0.0,33,10,6,1017,30,2.0,26,79,12,53,26.0,79.0,7,11.0,26,79,1
1100,28.0,83.0,4,6.0,227.0,9,1,0.0,0.0,29,10,6,1016,30,1.0,28,82,12,53,28.0,83.0,7,12.0,28,82,1
1200,30.0,86.0,4,6.0,331.0,0,1,0.0,0.0,24,10,6,1016,30,0.0,29,85,12,53,30.0,86.0,7,11.0,29,85,1
1300,31.0,88.0,5,8.0,322.0,1,1,0.0,0.0,23,10,6,1015,30,2.0,30,86,11,52,31.0,88.0,6,9.0,30,86,1
1400,32.0,89.0,6,9.0,313.0,1,1,0.0,0.0,22,10,6,1014,30,4.0,31,87,11,51,32.0,89.0,7,11.0,31,87,1
1500,31.0,88.0,7,11.0,304.0,1,1,0.0,0.0,21,10,6,1013,30,6.0,30,86,10,50,31.0,88.0,10,16.0,30,86,1
1600,31.0,87.0,6,10.0,305.0,1,1,0.0,0.0,25,10,6,1013,30,6.0,29,85,10,51,31.0,87.0,11,17.0,29,85,1
1700,29.0,84.0,6,10.0,305.0,1,1,0.0,0.0,29,10,6,1014,30,5.0,28,82,10,49,29.0,84.0,9,15.0,28,82,1
1800,27.0,81.0,6,9.0,306.0,1,1,0.0,0.0,34,10,6,1014,30,5.0,27,80,10,50,27.0,81.0,10,15.0,27,80,1
1900,26.0,78.0,6,9.0,320.0,1,0,0.0,0.0,36,10,6,1015,30,3.0,26,78,10,49,26.0,78.0,10,16.0,26,78,1
2000,24.0,75.0,5,9.0,333.0,0,0,0.0,0.0,39,10,6,1015,30,2.0,25,77,9,49,24.0,75.0,10,17.0,25,77,1
2100,23.0,73.0,5,8.0,347.0,0,0,0.0,0.0,42,10,6,1016,30,0.0,25,76,9,48,23.0,73.0,11,17.0,25,76,1
2200,22.0,71.0,4,7.0,241.0,5,0,0.0,0.0,43,10,6,1016,30,0.0,23,73,8,47,22.0,71.0,9,15.0,22,71,1
2300,21.0,70.0,4,6.0,136.0,12,0,0.0,0.0,44,10,6,1016,30,0.0,21,71,8,47,21.0,70.0,8,12.0,21,70,1
0,20.0,69.0,3,5.0,30.0,6,0,0.0,0.0,44,10,6,1016,30,0.0,21,69,8,46,20.0,69.0,6,10.0,20,69,1
100,19.0,67.0,3,5.0,35.0,11,0,0.0,0.0,45,10,6,1015,30,0.0,20,67,8,46,19.0,67.0,6,10.0,19,67,1
200,19.0,66.0,3,5.0,41.0,11,0,0.0,0.0,45,10,6,1015,30,0.0,19,66,11,52,19.0,66.0,6,10.0,19,66,1
300,18.5,65.0,3,5.0,46.0,11,0,0.0,0.0,45,10,6,1014,30,0.0,18,66,11,52,18.5,65.0,6,10.0,18,66,1
400,18.5,64.5,3,5.0,46.0,11,0,0.0,0.0,44,10,6,1015,30,0.0,18,66,11,51,18.5,64.5,6,10.0,18,66,1
500,18.5,64.5,3,5.0,47.0,11,0,0.0,0.0,43,10,6,1015,30,0.0,18,66,10,50,18.5,64.5,6,10.0,18,66,1
600,18.5,64.5,3,5.0,47.0,11,0,0.0,0.0,41,10,6,1015,30,0.0,18,66,10,50,18.5,64.5,6,10.0,18,66,1
700,19.0,66.0,4,6.0,43.0,11,1,0.0,0.0,37,10,6,1016,30,0.0,19,66,10,49,19.0,66.0,6,10.0,19,66,1
800,21.0,70.0,4,6.0,40.0,11,1,0.0,0.0,32,10,6,1017,30,0.0,22,71,10,50,21.0,70.0,6,9.0,21,70,1
900,24.0,75.0,4,7.0,37.0,11,1,0.0,0.0,28,10,6,1017,30,0.0,24,76,10,50,24.0,75.0,5,9.0,24,76,1
1000,27.0,80.0,4,7.0,29.0,6,1,0.0,0.0,25,10,6,1017,30,0.0,27,80,11,51,27.0,80.0,5,8.0,27,80,1
1100,30.0,86.0,4,6.0,21.0,6,1,0.0,0.0,22,10,6,1016,30,0.0,29,85,11,52,30.0,86.0,5,8.0,29,85,1
1200,32.0,89.0,4,6.0,13.0,6,1,0.0,0.0,20,10,6,1015,30,0.0,31,87,11,52,32.0,89.0,4,7.0,31,87,1
1300,33.0,91.0,4,7.0,108.0,13,1,0.0,0.0,20,10,6,1014,30,0.0,32,89,11,51,33.0,91.0,5,8.0,32,89,1
1400,34.0,92.0,5,8.0,202.0,8,1,0.0,0.0,20,10,6,1013,30,0.0,32,90,10,50,34.0,92.0,9,14.0,32,90,1
1500,34.0,92.0,6,9.0,297.0,2,1,0.0,0.0,20,10,6,1012,30,0.0,32,90,10,50,34.0,92.0,10,15.0,32,90,1
1600,32.0,90.0,6,10.0,296.0,2,1,0.0,0.0,25,10,6,1013,30,0.0,31,88,10,50,32.0,90.0,8,13.0,31,88,1
1700,30.0,86.0,6,10.0,296.0,2,1,0.0,0.0,30,10,6,1013,30,0.0,29,85,11,51,30.0,86.0,9,15.0,29,85,1
1800,28.0,83.0,6,10.0,295.0,2,1,0.0,0.0,35,10,6,1014,30,0.0,28,82,11,53,28.0,83.0,11,17.0,28,82,1
1900,27.0,80.0,5,8.0,202.0,8,0,0.0,0.0,38,10,6,1014,30,0.0,27,80,11,52,27.0,80.0,11,18.0,27,80,1
2000,25.0,77.0,4,6.0,110.0,13,0,0.0,0.0,41,10,6,1015,30,0.0,26,78,11,52,25.0,77.0,10,16.0,26,78,1
2100,24.0,75.0,3,5.0,17.0,6,0,0.0,0.0,44,10,6,1016,30,0.0,25,77,11,51,24.0,75.0,9,14.0,25,77,1
2200,23.0,73.0,3,5.0,15.0,6,0,0.0,0.0,45,10,6,1016,30,0.0,25,77,11,51,23.0,73.0,9,14.0,25,77,1
2300,22.0,71.0,3,5.0,13.0,6,0,0.0,0.0,46,10,6,1015,30,0.0,23,73,13,55,22.0,71.0,9,14.0,22,71,1
0,21.0,69.0,3,5.0,12.0,6,0,0.0,0.0,47,10,6,1015,30,0.0,21,70,13,55,21.0,69.0,9,14.0,21,69,1
100,20.0,68.0,3,5.0,13.0,6,0,0.0,0.0,47,10,6,1015,30,0.0,20,69,12,54,20.0,68.0,6,10.0,20,68,1
200,19.0,67.0,3,5.0,14.0,6,0,0.0,0.0,47,10,6,1014,30,0.0,20,67,12,54,19.0,67.0,6,10.0,19,67,1
300,19.0,66.0,3,5.0,16.0,6,0,0.0,0.0,48,10,6,1014,30,0.0,19,66,12,53,19.0,66.0,6,10.0,19,66,1
400,19.0,65.0,3,5.0,22.0,6,0,0.0,0.0,48,10,6,1014,30,0.0,19,66,12,53,19.0,65.0,6,10.0,19,66,1
500,18.5,65.0,3,5.0,28.0,6,0,0.0,0.0,48,10,6,1014,30,0.0,18,66,11,53,18.5,65.0,6,9.0,18,66,1
600,18.5,65.0,3,4.0,34.0,11,0,0.0,0.0,48,10,6,1015,30,0.0,18,66,11,52,18.5,65.0,6,9.0,18,66,1
700,20.0,67.0,3,5.0,35.0,11,1,0.0,0.0,44,10,6,1015,30,0.0,20,67,11,52,20.0,67.0,5,8.0,20,67,1
800,22.0,71.0,3,5.0,36.0,11,1,0.0,0.0,40,10,6,1016,30,0.0,22,72,12,53,22.0,71.0,7,11.0,22,71,1
900,24.0,75.0,3,5.0,36.0,11,1,0.0,0.0,35,10,6,1017,30,0.0,25,76,12,53,24.0,75.0,7,11.0,25,76,1
1000,27.0,80.0,4,6.0,129.0,12,1,0.0,0.0,31,10,6,1016,30,0.0,27,80,12,54,27.0,80.0,6,10.0,27,80,1
1100,30.0,85.0,4,7.0,222.0,9,1,0.0,0.0,28,10,6,1015,30,0.0,29,85,13,55,30.0,85.0,5,8.0,29,85,1
1200,31.0,88.0,5,8.0,315.0,1,1,0.0,0.0,24,10,6,1015,30,0.0,31,88,13,55,31.0,88.0,5,9.0,31,88,1
1300,32.0,90.0,6,9.0,306.0,1,1,0.0,0.0,23,10,6,1014,30,0.0,32,89,13,55,32.0,90.0,6,10.0,32,89,1
1400,33.0,91.0,6,10.0,298.0,2,1,0.0,0.0,23,10,6,1013,30,0.0,32,90,12,54,33.0,91.0,7,12.0,32,90,1
1500,33.0,91.0,7,12.0,290.0,2,1,0.0,0.0,22,10,6,1012,30,0.0,32,89,12,54,33.0,91.0,9,14.0,32,89,1
1600,31.0,88.0,7,11.0,293.0,2,1,0.0,0.0,27,10,6,1012,30,0.0,30,86,11,51,31.0,88.0,12,19.0,30,86,1
1700,29.0,84.0,6,10.0,296.0,2,1,0.0,0.0,31,10,6,1013,30,0.0,28,83,11,51,29.0,84.0,12,19.0,28,83,1
1800,27.0,81.0,6,9.0,299.0,2,1,0.0,0.0,36,10,6,1013,30,0.0,27,81,11,51,27.0,81.0,12,19.0,27,81,1
1900,26.0,78.0,5,8.0,317.0,1,0,0.0,0.0,37,10,6,1014,30,0.0,26,79,10,50,26.0,78.0,11,18.0,26,79,1
2000,24.0,76.0,5,7.0,336.0,0,0,0.0,0.0,39,10,6,1015,30,0.0,25,77,9,49,24.0,76.0,8,13.0,25,77,1
2100,23.0,74.0,4,6.0,354.0,3,0,0.0,0.0,41,10,6,1016,30,0.0,25,76,9,47,23.0,74.0,8,13.0,25,76,1
2200,23.0,73.0,4,6.0,241.0,5,0,0.0,0.0,43,10,6,1015,30,0.0,24,76,9,48,23.0,73.0,7,12.0,24,76,1
2300,21.0,71.0,3,5.0,128.0,12,0,0.0,0.0,45,10,6,1015,30,0.0,22,72,9,49,21.0,71.0,7,11.0,21,71,1
0,21.0,69.0,3,5.0,14.0,6,0,0.0,0.0,47,10,6,1015,30,0.0,21,70,13,55,21.0,69.0,6,9.0,21,69,1
100,20.0,68.0,3,5.0,17.0,6,0,0.0,0.0,48,10,6,1014,30,0.0,20,68,12,54,20.0,68.0,6,9.0,20,68,1
200,20.0,68.0,3,4.0,20.0,6,0,0.0,0.0,48,10,6,1014,30,0.0,20,68,12,54,20.0,68.0,6,9.0,20,68,1
300,19.0,67.0,3,4.0,23.0,6,0,0.0,0.0,49,10,6,1013,30,0.0,19,67,9,48,19.0,67.0,6,9.0,19,67,1
400,19.0,65.0,3,4.0,23.0,6,0,0.0,0.0,49,10,6,1014,30,0.0,19,66,12,53,19.0,65.0,6,9.0,19,66,1
500,18.5,64.5,3,4.0,22.0,6,0,0.0,0.0,50,10,6,1014,30,0.0,18,66,12,53,18.5,64.5,6,9.0,18,66,1
600,18.5,65.0,3,4.0,22.0,6,0,0.0,0.0,51,10,6,1014,30,0.0,18,66,12,53,18.5,65.0,6,9.0,18,66,1
700,19.0,67.0,2,4.0,35.0,11,1,0.0,0.0,47,10,6,1015,30,0.0,19,67,12,53,19.0,67.0,7,11.0,19,67,1
800,22.0,71.0,2,3.0,48.0,11,1,0.0,0.0,43,10,6,1015,30,0.0,22,72,12,54,22.0,71.0,6,10.0,22,71,1
900,24.0,76.0,2,3.0,61.0,14,1,0.0,0.0,39,10,6,1016,30,0.0,24,76,9,48,24.0,76.0,6,10.0,24,76,1
1000,27.0,81.0,3,4.0,129.0,12,1,0.0,0.0,34,10,6,1015,30,0.0,26,80,10,49,27.0,81.0,7,11.0,26,80,1
1100,29.0,84.0,4,6.0,196.0,8,1,0.0,0.0,30,10,6,1015,30,0.0,29,84,10,50,29.0,84.0,4,7.0,29,84,1
1200,31.0,88.0,5,8.0,264.0,4,1,0.0,0.0,26,10,6,1014,30,0.0,30,86,13,56,31.0,88.0,5,9.0,30,86,1
1300,32.0,90.0,3,6.0,270.0,4,1,0.0,0.0,26,10,6,1013,30,0.0,31,88,11,51,32.0,90.0,7,12.0,31,88,1
1400,33.0,91.0,5,9.0,277.0,4,1,0.0,0.0,26,10,6,1012,30,0.0,31,89,11,51,33.0,91.0,9,14.0,31,89,1
1500,32.0,90.0,9,15.0,283.0,2,1,0.0,0.0,26,10,6,1011,30,0.0,31,88,11,51,32.0,90.0,11,17.0,31,88,1
1600,31.0,87.0,8,12.0,282.0,2,1,0.0,0.0,30,10,6,1011,30,0.0,30,86,11,52,31.0,87.0,9,14.0,30,86,1
1700,29.0,84.0,6,10.0,282.0,2,1,0.0,0.0,34,10,6,1012,30,0.0,29,83,12,53,29.0,84.0,10,15.0,29,83,1
1800,28.0,82.0,4,7.0,281.0,4,1,0.0,0.0,39,10,6,1012,30,0.0,27,81,12,54,28.0,82.0,8,14.0,27,81,1
1900,26.0,79.0,4,6.0,292.0,2,0,0.0,0.0,41,10,6,1013,30,0.0,26,79,12,53,26.0,79.0,8,12.0,26,79,1
2000,24.0,76.0,3,5.0,303.0,2,0,0.0,0.0,44,10,6,1014,30,0.0,25,78,11,52,24.0,76.0,5,8.0,25,78,1
2100,23.0,74.0,3,4.0,313.0,1,0,0.0,0.0,47,10,6,1015,30,0.0,25,77,11,51,23.0,74.0,5,9.0,25,77,1
2200,23.0,73.0,3,4.0,250.0,5,0,0.0,0.0,48,10,6,1014,30,2.0,25,76,11,52,23.0,73.0,5,9.0,25,76,1
2300,23.0,73.0,3,4.0,186.0,7,0,0.0,0.0,50,10,6,1014,30,4.0,25,76,11,52,23.0,73.0,5,9.0,25,76,1
0,22.0,71.0,3,4.0,122.0,13,0,0.0,0.0,51,10,6,1014,30,6.0,23,73,12,53,22.0,71.0,5,9.0,22,71,1
100,22.0,71.0,3,4.0,107.0,13,0,0.0,0.0,52,10,6,1013,30,6.0,24,74,14,57,22.0,71.0,5,8.0,22,71,1
200,21.0,71.0,3,4.0,92.0,15,0,0.0,0.0,52,10,6,1013,30,7.0,24,75,11,53,21.0,71.0,5,8.0,21,71,1
300,21.0,70.0,2,4.0,77.0,14,0,0.0,0.0,53,10,6,1013,30,7.0,24,75,11,52,21.0,70.0,7,12.0,21,70,1
400,21.0,70.0,3,4.0,76.0,14,0,0.0,0.0,53,10,6,1013,30,8.0,23,73,11,52,21.0,70.0,8,12.0,21,70,1
500,21.0,70.0,3,4.0,75.0,14,0,0.0,0.0,52,10,6,1013,30,8.0,22,71,11,51,21.0,70.0,8,12.0,21,70,1
600,21.0,70.0,3,4.0,74.0,14,0,0.0,0.0,52,10,6,1014,30,9.0,21,70,11,51,21.0,70.0,6,9.0,21,70,1
700,22.0,71.0,3,5.0,75.0,14,1,0.0,0.0,48,10,6,1014,30,9.0,23,74,13,56,22.0,71.0,5,8.0,22,71,1
800,24.0,75.0,3,6.0,77.0,14,1,0.0,0.0,43,10,6,1015,30,9.0,24,76,14,57,24.0,75.0,8,13.0,24,76,1
900,26.0,79.0,4,6.0,78.0,14,1,0.0,0.0,39,10,6,1016,30,9.0,26,79,11,51,26.0,79.0,8,13.0,26,79,1
1000,29.0,84.0,4,6.0,122.0,13,1,0.0,0.0,36,10,6,1015,30,8.0,28,83,12,53,29.0,84.0,9,14.0,28,83,1
1100,31.0,87.0,4,7.0,167.0,10,1,0.0,0.0,33,10,6,1015,30,8.0,31,87,13,56,31.0,87.0,9,14.0,31,87,1
1200,32.0,89.0,4,7.0,211.0,8,1,0.0,0.0,31,10,6,1014,30,8.0,32,90,16,60,32.0,89.0,8,13.0,32,90,1
1300,33.0,91.0,7,11.0,229.0,9,1,0.0,0.0,32,10,6,1013,30,8.0,33,92,16,60,33.0,91.0,8,12.0,33,92,1
1400,33.0,92.0,6,10.0,247.0,5,1,0.0,0.0,32,10,6,1013,30,8.0,34,93,15,59,33.0,92.0,10,16.0,34,93,1
1500,32.0,90.0,7,12.0,264.0,4,1,0.0,0.0,33,10,6,1012,30,8.0,33,91,16,60,32.0,90.0,12,20.0,33,91,1
1600,31.0,88.0,9,14.0,271.0,4,1,0.0,0.0,38,10,6,1013,30,8.0,31,88,15,59,31.0,88.0,11,17.0,31,88,1
1700,29.0,84.0,7,11.0,279.0,4,1,0.0,0.0,42,10,6,1013,30,7.0,29,85,15,59,29.0,84.0,11,18.0,29,85,1
1800,28.0,82.0,5,8.0,286.0,2,1,0.0,0.0,47,10,6,1014,30,7.0,28,82,15,59,28.0,82.0,10,16.0,28,82,1
1900,26.0,79.0,4,6.0,202.0,8,0,0.0,0.0,49,10,6,1014,30,7.0,27,81,14,58,26.0,79.0,6,9.0,27,81,1
2000,25.0,77.0,3,4.0,119.0,13,0,0.0,0.0,51,10,6,1015,30,7.0,26,79,14,57,25.0,77.0,4,7.0,26,79,1
2100,24.0,76.0,2,3.0,35.0,11,0,0.0,0.0,53,10,6,1016,30,7.0,26,78,14,57,24.0,76.0,3,5.0,26,78,1
2200,24.0,75.0,2,3.0,25.0,6,0,0.0,0.0,54,10,6,1016,30,7.0,25,78,14,57,24.0,75.0,3,5.0,25,78,1
2300,23.0,74.0,2,3.0,15.0,6,0,0.0,0.0,55,10,6,1015,30,8.0,25,77,14,57,23.0,74.0,3,5.0,25,77,1
0,23.0,73.0,2,3.0,5.0,3,0,0.0,0.0,57,10,6,1015,30,8.0,25,77,14,57,23.0,73.0,3,5.0,25,77,1
100,23.0,73.0,2,3.0,22.0,6,0,0.0,0.0,57,10,6,1015,30,9.0,25,77,14,56,23.0,73.0,3,6.0,25,77,1
200,22.0,72.0,2,3.0,40.0,11,0,0.0,0.0,57,10,6,1015,30,10.0,25,76,13,56,22.0,72.0,4,6.0,25,76,1
300,21.0,71.0,2,3.0,57.0,14,0,0.0,0.0,58,10,6,1014,30,10.0,23,73,13,56,21.0,71.0,4,6.0,21,71,1
400,21.0,70.0,2,3.0,63.0,14,0,0.0,0.0,58,10,6,1015,30,9.0,21,71,16,60,21.0,70.0,4,7.0,21,70,1
500,21.0,69.0,2,3.0,69.0,14,0,0.0,0.0,58,10,6,1015,30,8.0,21,70,15,60,21.0,69.0,4,7.0,21,69,1
600,21.0,70.0,2,4.0,75.0,14,0,0.0,0.0,58,10,6,1015,30,7.0,23,73,15,59,21.0,70.0,5,8.0,21,70,1
700,22.0,72.0,3,4.0,80.0,15,1,0.0,0.0,53,10,6,1016,30,7.0,24,75,15,59,22.0,72.0,7,12.0,24,75,1
800,24.0,76.0,3,5.0,86.0,15,1,0.0,0.0,49,10,6,1017,30,7.0,25,78,15,60,24.0,76.0,8,13.0,25,78,1
900,27.0,80.0,3,5.0,91.0,15,1,0.0,0.0,44,10,6,1018,30,8.0,27,81,13,56,27.0,80.0,9,14.0,27,81,1
1000,30.0,85.0,6,10.0,129.0,12,1,0.0,0.0,40,10,6,1017,30,8.0,30,86,14,58,30.0,85.0,10,16.0,30,86,1
1100,31.0,89.0,6,10.0,166.0,10,1,0.0,0.0,36,10,6,1016,30,7.0,32,90,15,59,31.0,89.0,11,17.0,32,90,1
1200,33.0,91.0,4,7.0,204.0,8,1,0.0,0.0,32,10,6,1016,30,7.0,33,92,16,61,33.0,91.0,10,15.0,33,92,1
1300,33.0,92.0,6,10.0,225.0,9,1,0.0,0.0,32,10,6,1015,30,8.0,34,93,16,61,33.0,92.0,7,12.0,34,93,1
1400,34.0,93.0,6,9.0,247.0,5,1,0.0,0.0,31,10,6,1014,30,9.0,34,94,15,60,34.0,93.0,10,15.0,34,94,1
1500,33.0,92.0,6,9.0,268.0,4,1,0.0,0.0,31,10,6,1013,30,10.0,34,93,15,59,33.0,92.0,9,14.0,34,93,1
1600,32.0,90.0,6,10.0,272.0,4,1,0.0,0.0,36,10,6,1013,30,10.0,33,91,16,61,32.0,90.0,11,17.0,33,91,1
1700,30.0,86.0,8,12.0,275.0,4,1,0.0,0.0,42,10,6,1014,30,9.0,31,87,16,60,30.0,86.0,9,15.0,31,87,1
