MaxtempC,MaxtempF,MintempC,MintempF,Sunrise,Sunset,Moonrise,Moonset,Moon Phase,Moon Illumination,Date_Month
32,90,18,65,0712,1812,1400,0213,1,61.0,1
34,94,17,64,0712,1813,1438,0306,2,69.0,1
34,92,18,64,0713,1814,1520,0400,2,76.0,1
33,92,18,64,0713,1814,1605,0455,2,83.0,1
34,93,21,69,0713,1815,1653,0549,2,90.0,1
34,93,20,69,0713,1815,1744,0642,2,98.0,1
35,95,23,73,0714,1816,1837,0733,3,100.0,1
34,93,22,71,0714,1817,1931,0819,2,88.0,1
34,93,19,66,0714,1817,2022,0901,2,81.0,1
35,94,18,64,0714,1818,2114,0940,4,73.0,1
34,93,18,64,0714,1819,2203,1015,4,66.0,1
33,91,17,64,0715,1819,2252,1049,4,59.0,1
30,86,18,65,0715,1820,2341,1122,5,51.0,1
31,88,15,64,0715,1820,0000,1155,5,44.0,1
32,89,15,64,0715,1821,0032,1229,5,37.0,1
31,88,17,64,0715,1822,0125,1308,5,30.0,1
32,89,17,64,0715,1822,0222,1351,6,22.0,1
34,94,17,64,0715,1823,0324,1441,6,15.0,1
33,92,18,64,0715,1824,0430,1539,6,8.0,1
32,90,18,64,0715,1824,0538,1644,6,1.0,1
32,89,17,64,0715,1825,0644,1754,7,0.0,1
31,88,17,64,0715,1826,0744,1904,7,0.0,1
31,88,17,64,0715,1826,0837,2012,8,6.0,1
30,86,17,64,0715,1827,0925,2116,8,14.0,1
29,85,16,64,0715,1827,1006,2215,8,21.0,1
31,88,19,66,0714,1828,1045,2312,8,28.0,1
36,97,20,68,0714,1829,1122,0000,8,36.0,1
35,94,20,67,0714,1829,1159,0007,1,43.0,1
31,87,20,69,0714,1830,1238,0101,1,50.0,1
33,92,19,66,0714,1830,1319,0156,1,57.0,1
35,95,20,67,0713,1831,1402,0250,1,61.0,1
35,95,23,73,0713,1831,1449,0345,2,75.0,2
36,97,23,73,0713,1832,1540,0438,2,82.0,2
36,97,21,69,0712,1833,1632,0529,2,90.0,2
36,97,20,68,0712,1833,1726,0616,2,97.0,2
36,97,21,70,0712,1834,1818,0700,3,100.0,2
36,97,19,67,0711,1834,1910,0740,2,88.0,2
35,96,19,66,0711,1835,2000,0816,2,80.0,2
37,99,19,66,0711,1835,2049,0851,4,73.0,2
38,100,20,68,0710,1836,2138,0924,4,65.0,2
37,99,20,68,0710,1836,2227,0956,4,57.0,2
37,99,19,67,0709,1837,2319,1029,4,50.0,2
38,101,18,65,0709,1837,0000,1106,5,42.0,2
38,101,21,69,0708,1838,0013,1145,5,35.0,2
38,100,19,67,0708,1838,0111,1230,5,27.0,2
39,102,19,67,0707,1839,0213,1323,6,20.0,2
40,104,20,68,0707,1839,0318,1423,6,12.0,2
40,104,20,69,0706,1839,0423,1529,6,5.0,2
40,104,20,69,0706,1840,0525,1638,7,0.0,2
39,103,20,68,0705,1840,0621,1747,7,0.0,2
37,98,21,70,0704,1841,0711,1853,7,0.0,2
38,100,20,69,0704,1841,0756,1956,8,3.0,2
38,100,20,69,0703,1841,0837,2056,8,10.0,2
39,101,20,67,0702,1842,0916,2153,8,18.0,2
39,102,20,69,0702,1842,0954,2250,8,25.0,2
39,102,21,70,0701,1843,1033,2346,8,33.0,2
39,103,21,69,0700,1843,1114,0000,8,40.0,2
41,105,22,71,0700,1843,1158,0042,1,48.0,2
39,102,23,74,0659,1844,1244,0138,1,56.0,2
39,103,23,73,0658,1844,1334,0232,1,61.0,3
41,105,23,74,0658,1844,1426,0325,2,68.0,3
42,108,25,77,0657,1845,1520,0413,2,75.0,3
41,106,26,78,0656,1845,1612,0458,2,83.0,3
42,107,26,79,0655,1845,1705,0540,2,90.0,3
41,106,24,74,0655,1846,1756,0617,2,97.0,3
40,104,23,74,0654,1846,1845,0652,3,100.0,3
40,104,24,76,0653,1846,1935,0725,2,88.0,3
41,105,26,80,0652,1847,2024,0758,2,81.0,3
42,107,26,79,0651,1847,2116,0831,4,74.0,3
42,108,26,79,0651,1847,2209,0907,4,66.0,3
43,109,26,79,0650,1847,2306,0945,4,59.0,3
41,106,27,80,0649,1848,0000,1027,5,52.0,3
40,105,26,78,0648,1848,0005,1117,5,45.0,3
39,102,27,80,0647,1848,0108,1212,5,37.0,3
39,102,26,78,0647,1848,0211,1314,5,30.0,3
37,98,25,77,0646,1849,0312,1420,6,23.0,3
35,95,25,76,0645,1849,0408,1527,6,16.0,3
35,95,24,75,0644,1849,0459,1632,6,8.0,3
35,94,24,74,0643,1849,0546,1736,6,1.0,3
35,94,24,75,0642,1850,0627,1836,7,0.0,3
36,97,23,74,0641,1850,0707,1936,7,0.0,3
36,98,24,74,0641,1850,0746,2033,8,6.0,3
38,100,24,74,0640,1850,0825,2131,8,13.0,3
37,99,24,75,0639,1851,0906,2229,8,21.0,3
36,96,22,71,0638,1851,0950,2327,8,28.0,3
37,98,22,72,0637,1851,1036,0000,8,35.0,3
38,100,23,73,0636,1851,1126,0023,1,42.0,3
37,98,24,75,0636,1852,1218,0118,1,50.0,3
35,95,23,74,0635,1852,1312,0208,1,57.0,3
35,95,24,75,0634,1852,1405,0255,1,61.0,3
35,96,22,71,0633,1852,1457,0337,2,74.0,4
36,96,22,72,0632,1853,1549,0415,2,8.0,4
36,96,22,72,0631,1853,1639,0451,2,89.0,4
37,99,24,75,0630,1853,1729,0525,2,97.0,4
38,100,24,76,0630,1853,1818,0558,3,100.0,4
41,105,24,75,0629,1854,1910,0631,2,88.0,4
41,105,25,77,0628,1854,2003,0706,2,81.0,4
40,104,26,78,0627,1854,2100,0744,4,73.0,4
40,104,25,78,0626,1854,2200,0826,4,65.0,4
41,105,27,80,0626,1855,2302,0914,4,58.0,4
41,106,27,80,0625,1855,0000,1007,4,50.0,4
42,108,28,82,0624,1855,0005,1107,5,43.0,4
41,107,27,81,0623,1855,0106,1210,5,35.0,4
41,105,27,80,0623,1856,0203,1316,5,28.0,4
40,104,26,79,0622,1856,0254,1420,6,20.0,4
40,104,25,77,0621,1856,0340,1522,6,13.0,4
41,105,25,76,0620,1857,0422,1622,6,5.0,4
43,110,26,79,0620,1857,0501,1720,7,0.0,4
43,110,27,80,0619,1857,0540,1817,7,0.0,4
40,105,28,82,0618,1857,0618,1915,7,0.0,4
38,100,26,78,0617,1858,0658,2013,8,2.0,4
37,98,26,78,0617,1858,0741,2112,8,10.0,4
